"","date","categories","count","text"
"228",2020-05-14,"cumulative_total_deaths",329835,"deaths Count: 329,835 
Date: 2020-05-14"
"229",2020-05-15,"cumulative_total_cases",4828726,"cases Count: 4,828,726 
Date: 2020-05-15"
"230",2020-05-15,"cumulative_total_deaths",335670,"deaths Count: 335,670 
Date: 2020-05-15"
"231",2020-05-16,"cumulative_total_cases",4926328,"cases Count: 4,926,328 
Date: 2020-05-16"
"232",2020-05-16,"cumulative_total_deaths",340730,"deaths Count: 340,730 
Date: 2020-05-16"
"233",2020-05-17,"cumulative_total_cases",5010755,"cases Count: 5,010,755 
Date: 2020-05-17"
"234",2020-05-17,"cumulative_total_deaths",344850,"deaths Count: 344,850 
Date: 2020-05-17"
"235",2020-05-18,"cumulative_total_cases",5102998,"cases Count: 5,102,998 
Date: 2020-05-18"
"236",2020-05-18,"cumulative_total_deaths",349395,"deaths Count: 349,395 
Date: 2020-05-18"
"237",2020-05-19,"cumulative_total_cases",5202360,"cases Count: 5,202,360 
Date: 2020-05-19"
"238",2020-05-19,"cumulative_total_deaths",355395,"deaths Count: 355,395 
Date: 2020-05-19"
"239",2020-05-20,"cumulative_total_cases",5308364,"cases Count: 5,308,364 
Date: 2020-05-20"
"240",2020-05-20,"cumulative_total_deaths",360823,"deaths Count: 360,823 
Date: 2020-05-20"
"241",2020-05-21,"cumulative_total_cases",5417587,"cases Count: 5,417,587 
Date: 2020-05-21"
"242",2020-05-21,"cumulative_total_deaths",366652,"deaths Count: 366,652 
Date: 2020-05-21"
"243",2020-05-22,"cumulative_total_cases",5527732,"cases Count: 5,527,732 
Date: 2020-05-22"
"244",2020-05-22,"cumulative_total_deaths",372242,"deaths Count: 372,242 
Date: 2020-05-22"
"245",2020-05-23,"cumulative_total_cases",5630923,"cases Count: 5,630,923 
Date: 2020-05-23"
"246",2020-05-23,"cumulative_total_deaths",377093,"deaths Count: 377,093 
Date: 2020-05-23"
"247",2020-05-24,"cumulative_total_cases",5729655,"cases Count: 5,729,655 
Date: 2020-05-24"
"248",2020-05-24,"cumulative_total_deaths",381254,"deaths Count: 381,254 
Date: 2020-05-24"
"249",2020-05-25,"cumulative_total_cases",5821883,"cases Count: 5,821,883 
Date: 2020-05-25"
"250",2020-05-25,"cumulative_total_deaths",385695,"deaths Count: 385,695 
Date: 2020-05-25"
"251",2020-05-26,"cumulative_total_cases",5917378,"cases Count: 5,917,378 
Date: 2020-05-26"
"252",2020-05-26,"cumulative_total_deaths",390409,"deaths Count: 390,409 
Date: 2020-05-26"
"253",2020-05-27,"cumulative_total_cases",6027471,"cases Count: 6,027,471 
Date: 2020-05-27"
"254",2020-05-27,"cumulative_total_deaths",396160,"deaths Count: 396,160 
Date: 2020-05-27"
"255",2020-05-28,"cumulative_total_cases",6147895,"cases Count: 6,147,895 
Date: 2020-05-28"
"256",2020-05-28,"cumulative_total_deaths",401506,"deaths Count: 401,506 
Date: 2020-05-28"
"257",2020-05-29,"cumulative_total_cases",6277365,"cases Count: 6,277,365 
Date: 2020-05-29"
"258",2020-05-29,"cumulative_total_deaths",406987,"deaths Count: 406,987 
Date: 2020-05-29"
"259",2020-05-30,"cumulative_total_cases",6404515,"cases Count: 6,404,515 
Date: 2020-05-30"
"260",2020-05-30,"cumulative_total_deaths",411836,"deaths Count: 411,836 
Date: 2020-05-30"
"261",2020-05-31,"cumulative_total_cases",6515936,"cases Count: 6,515,936 
Date: 2020-05-31"
"262",2020-05-31,"cumulative_total_deaths",415983,"deaths Count: 415,983 
Date: 2020-05-31"
"263",2020-06-01,"cumulative_total_cases",6619652,"cases Count: 6,619,652 
Date: 2020-06-01"
"264",2020-06-01,"cumulative_total_deaths",420110,"deaths Count: 420,110 
Date: 2020-06-01"
"265",2020-06-02,"cumulative_total_cases",6740204,"cases Count: 6,740,204 
Date: 2020-06-02"
"266",2020-06-02,"cumulative_total_deaths",425742,"deaths Count: 425,742 
Date: 2020-06-02"
"267",2020-06-03,"cumulative_total_cases",6864138,"cases Count: 6,864,138 
Date: 2020-06-03"
"268",2020-06-03,"cumulative_total_deaths",431388,"deaths Count: 431,388 
Date: 2020-06-03"
"269",2020-06-04,"cumulative_total_cases",6998364,"cases Count: 6,998,364 
Date: 2020-06-04"
"270",2020-06-04,"cumulative_total_deaths",437059,"deaths Count: 437,059 
Date: 2020-06-04"
"271",2020-06-05,"cumulative_total_cases",7132212,"cases Count: 7,132,212 
Date: 2020-06-05"
"272",2020-06-05,"cumulative_total_deaths",442380,"deaths Count: 442,380 
Date: 2020-06-05"
"273",2020-06-06,"cumulative_total_cases",7263627,"cases Count: 7,263,627 
Date: 2020-06-06"
"274",2020-06-06,"cumulative_total_deaths",447325,"deaths Count: 447,325 
Date: 2020-06-06"
"275",2020-06-07,"cumulative_total_cases",7380863,"cases Count: 7,380,863 
Date: 2020-06-07"
"276",2020-06-07,"cumulative_total_deaths",451738,"deaths Count: 451,738 
Date: 2020-06-07"
"277",2020-06-08,"cumulative_total_cases",7491141,"cases Count: 7,491,141 
Date: 2020-06-08"
"278",2020-06-08,"cumulative_total_deaths",456026,"deaths Count: 456,026 
Date: 2020-06-08"
